,est,date
1141,84.72801174207228,2019-10-09
1142,86.18859952536312,2019-10-10
1143,87.35292738749347,2019-10-11
1144,87.20664931605647,2019-10-14
1145,86.97853009506973,2019-10-15
1146,87.73387051387793,2019-10-16
1147,89.52033609595729,2019-10-17
1148,89.56930964929191,2019-10-18
1149,89.98457110999763,2019-10-21
1150,90.73666001083427,2019-10-22
1151,89.88554340029205,2019-10-23
1152,89.83319972354785,2019-10-24
1153,89.82503252885215,2019-10-25
1154,91.36534597060657,2019-10-28
1155,92.24123846297479,2019-10-29
1156,91.22497115357196,2019-10-30
1157,91.57352426013338,2019-10-31
1158,90.9717530499629,2019-11-01
1159,91.53163669944021,2019-11-04
1160,92.35410321764388,2019-11-05
1161,93.08001188614915,2019-11-06
1162,93.36037741855304,2019-11-07
1163,93.75366104166497,2019-11-08
1164,93.49202745589515,2019-11-11
1165,93.5064184142104,2019-11-12
1166,92.84537034424933,2019-11-13
1167,92.40046990627114,2019-11-14
1168,92.49924551038588,2019-11-15
1169,92.5158345353342,2019-11-18
1170,92.73120516711127,2019-11-19
1171,93.23866837328072,2019-11-20
1172,91.96461513337043,2019-11-21
1173,90.9463487485205,2019-11-22
1174,91.65761910485222,2019-11-25
1175,92.48410055026888,2019-11-26
1176,92.77899820109916,2019-11-27
1177,93.02975124089585,2019-11-29
1178,92.83638273345181,2019-12-02
1179,91.77638576129995,2019-12-03
1180,89.15736054526008,2019-12-04
1181,88.07308953451502,2019-12-05
1182,87.84836794527972,2019-12-06
1183,88.4592266258276,2019-12-09
1184,87.76523146862266,2019-12-10
1185,86.57802154365136,2019-12-11
1186,86.93594991716807,2019-12-12
1187,88.30652116144145,2019-12-13
1188,87.71286156882984,2019-12-16
1189,88.46872258669326,2019-12-17
1190,89.34294559181748,2019-12-18
1191,88.91541456389317,2019-12-19
1192,89.16637776249658,2019-12-20
1193,89.29549287849966,2019-12-23
1194,89.4223194203101,2019-12-24
1195,89.19840537337838,2019-12-26
1196,89.23928494100495,2019-12-27
1197,88.50857614325606,2019-12-30
1198,87.94690977620199,2019-12-31
1199,88.06194315326177,2020-01-02
1200,89.51084392883674,2020-01-03
1201,88.18192132996548,2020-01-06
1202,87.61414817951295,2020-01-07
1203,86.88622797665622,2020-01-08
1204,87.22113908122493,2020-01-09
1205,87.9039431346852,2020-01-10
1206,87.40527340857646,2020-01-13
1207,86.89496748283776,2020-01-14
1208,87.68895806668307,2020-01-15
1209,88.30117160603916,2020-01-16
1210,89.39910430248939,2020-01-17
1211,89.75396538500704,2020-01-21
1212,86.37323735318122,2020-01-22
1213,83.35641794994078,2020-01-23
1214,84.65784951626871,2020-01-24
1215,82.3994246916134,2020-01-27
1216,77.96336954538191,2020-01-28
1217,76.85918945948647,2020-01-29
1218,75.42148405559668,2020-01-30
1219,77.3446496782481,2020-01-31
1220,75.25646109607425,2020-02-03
1221,74.74558052914068,2020-02-04
1222,78.31878678101255,2020-02-05
1223,81.76118090403577,2020-02-06
1224,80.73046349118943,2020-02-07
1225,79.50704378680159,2020-02-10
1226,79.41585954679284,2020-02-11
1227,80.37443422976787,2020-02-12
1228,82.05561595429184,2020-02-13
1229,81.16523187513216,2020-02-14
1230,79.64420108387351,2020-02-18
1231,80.12844352396708,2020-02-19
1232,79.54757974042813,2020-02-20
1233,79.83829206853018,2020-02-21
1234,78.32121833753365,2020-02-24
1235,75.65680837330578,2020-02-25
1236,71.03502241882117,2020-02-26
1237,66.67115721999237,2020-02-27
1238,64.85207852405802,2020-02-28
1239,61.92212578106798,2020-03-02
1240,61.10129595684514,2020-03-03
1241,58.69165909841606,2020-03-04
1242,59.25497630579577,2020-03-05
1243,52.83148554698067,2020-03-06
1244,51.6494531827483,2020-03-09
1245,47.59724480466627,2020-03-10
1246,51.69166534710944,2020-03-11
1247,49.8371584237952,2020-03-12
1248,38.55379848094954,2020-03-13
1249,40.768831166189415,2020-03-16
1250,36.45826973322246,2020-03-17
1251,30.811055339981813,2020-03-18
1252,22.263150174152994,2020-03-19
1253,20.787414150094744,2020-03-20
1254,24.021545049423942,2020-03-23
1255,26.25646639346853,2020-03-24
